Name,Year,Genre,Perspective,Console,Moby Score,Critics,Publishers,Developers,Multiplayer,Offline Players,Gameplay
NAM,1998,Action,1st-person,DOS,5.0,36% (9),"GT Interactive Software Corp., Brasoft Produtos de Informática Ltda., Night Dive Studios, LLC",GT Interactive Software Corp.,0.0,1.0,Shooter
Night Striker,1989,Action,Behind view,Arcade,5.1,36% (9),"Taito Corporation, Ving Co., Ltd.",Taito Corporation,0.0,1.0,"Arcade, Shooter"
Yetisports Deluxe,2004,Action,3rd-person (Other),Windows,4.5,36% (9),JoWooD Productions Software AG,JoWooD Productions Software AG,0.0,1.0,Arcade
Destroy All Humans!: Path of the Furon,2008,Action,3rd-person (Other),Xbox 360,5.4,37% (6),THQ Inc.,THQ Inc.,0.0,1.0,Cinematic camera
Ju-on: The Grudge,2009,Adventure,1st-person,Wii,4.9,36% (10),feelplus Inc.,feelplus Inc.,0.0,1.0,Horror
Who Wants to Beat Up a Millionaire,2000,Action,1st-person,Windows,4.6,37% (11),"Simon & Schuster Interactive, Xplorys BV, MitCom Neue Medien GmbH",Simon & Schuster Interactive,0.0,1.0,"Fighting, Game show / trivia / quiz"
SpeedRage,1996,Racing / Driving,1st-person,DOS,4.8,37% (7),Hexerei Games,Hexerei Games,0.0,1.0,"Arcade, Shooter"
Highlander,1986,Action,Side view,Commodore 64,4.1,37% (6),Ocean Software Ltd.,Ocean Software Ltd.,0.0,1.0,Fixed / flip-screen
The Tomorrow War,2006,Action,1st-person,Windows,5.2,37% (5),CrioLand,CrioLand,0.0,1.0,Real-time
R.B.I. Baseball 17,2017,Sports,Behind view,iPhone,5.4,37% (5),"MLB Advanced Media, L.P.","MLB Advanced Media, L.P.",0.0,1.0,Baseball
Traysia,1992,Role-playing (RPG),Top-down,Genesis,5.2,37% (5),"Telenet Japan Co., Ltd.","Telenet Japan Co., Ltd.",0.0,1.0,2D scrolling
"Stephen King's F13: Ctrl, Alt, ...Shiver",1999,Action,1st-person,Windows,4.7,37% (11),Blue Byte Studio GmbH,Blue Byte Studio GmbH,0.0,1.0,Isometric
March! Offworld Recon,2002,Action,1st-person,Windows,4.9,37% (6),HBM Ltd,HBM Ltd,0.0,1.0,Shooter
The Dark Half,1992,Adventure,3rd-person (Other),DOS,5.3,37% (6),Symtus,Symtus,0.0,1.0,Puzzle elements
The Flintstones: Bedrock Bowling,2000,Action,Diagonal-down,Windows,5.0,37% (12),"SouthPeak Interactive LLC, Ubi Soft Entertainment Software",SouthPeak Interactive LLC,0.0,1.0,Bowling
Mortal Kombat 4,1999,Action,Isometric,Game Boy Color,5.0,37% (10),"Digital Eclipse Software, Inc.","Digital Eclipse Software, Inc.",0.0,1.0,"Arcade, Fighting"
The One We Found,2018,Action,1st-person,Windows,5.0,37% (7),Loveridge Designs Ltd,Loveridge Designs Ltd,0.0,1.0,Shooter
Tsunami 2265,2002,Action,Behind view,Windows,4.6,37% (11),Prograph Research S.r.l.,Prograph Research S.r.l.,0.0,1.0,Anime / Manga
Fantastic Four: Rise of the Silver Surfer,2007,Action,Diagonal-down,PlayStation 2,4.9,37% (21),"2K Games, Inc.","2K Games, Inc.",0.0,1.0,"Arcade, Beat 'em up / brawler"
March of the Penguins,2006,Action,Side view,Game Boy Advance,5.1,37% (10),"Destination Software, Inc., ZOO Digital Publishing Ltd.","Destination Software, Inc.",0.0,1.0,2D scrolling
Pocket Racers,2006,Action,Behind view,PSP,4.4,37% (15),Blade Interactive Studios Ltd.,Blade Interactive Studios Ltd.,0.0,1.0,Automobile
Desert Falcon,1987,Action,Diagonal-down,Atari 2600,4.9,37% (6),"Atari Corporation, Microsoft Game Studios, Atari Interactive, Inc.",Atari Corporation,0.0,1.0,"2D scrolling, Isometric"
Gravity Games Bike: Street • Vert • Dirt,2002,Sports,Behind view,Xbox,4.9,37% (10),"Midway Games West, Inc.","Midway Games West, Inc.",0.0,1.0,Real-time
Terminator 3: War of the Machines,2003,Action,1st-person,Windows,4.5,37% (21),Clever's Games Ltd.,Clever's Games Ltd.,0.0,1.0,Shooter
Dragon Ball Z: Ultimate Battle 22,1995,Action,Side view,PlayStation,4.9,37% (12),"Tose Co., Ltd.","Tose Co., Ltd.",0.0,1.0,2D scrolling
Army Men: World War - Final Front,2001,Strategy,3rd-person (Other),PlayStation,5.6,37% (5),"3DO Company, The","3DO Company, The",0.0,1.0,Shooter
Baby Universe,1997,Simulation,Music / rhythm,PlayStation,5.2,37% (5),3D Kaleidoscope,3D Kaleidoscope,0.0,1.0,
Battle: Los Angeles,2011,Action,1st-person,Windows,4.7,37% (10),"Konami Digital Entertainment, Inc., 1C-SoftClub","Konami Digital Entertainment, Inc.",0.0,1.0,Shooter
Bloodwings: Pumpkinhead's Revenge,1995,Action,1st-person,DOS,4.5,37% (9),BAP Interactive,BAP Interactive,0.0,1.0,Shooter
Die Hard,1991,Action,Top-down,NES,6.0,37% (5),"Pack-In-Video Co., Ltd","Pack-In-Video Co., Ltd",0.0,1.0,2D scrolling
The Punisher,1990,Action,1st-person,Atari ST,5.5,37% (5),"Edge, The","Edge, The",0.0,1.0,Fixed / flip-screen
Hazard,1998,Role-playing (RPG),3rd-person (Other),Windows,5.2,37% (8),Pumpkin Software,Pumpkin Software,0.0,1.0,Real-time
Jugular Street Luge Racing,2000,Racing / Driving,3rd-person (Other),Windows,5.3,37% (5),nFusion Interactive LLC,nFusion Interactive LLC,0.0,1.0,Licensed
Mort the Chicken,2000,Action,Behind view,PlayStation,5.5,37% (5),AndNow LLC,AndNow LLC,0.0,1.0,Platform
Space HoRSE,2002,Strategy,Board game,Windows,5.3,37% (5),Gilligames,Gilligames,0.0,1.0,Sci-fi / futuristic
Dying: Reborn,2016,Adventure,1st-person,PS Vita,5.0,37% (9),"Shanghai Oriental Pearl Suole Culture Development Ltd., Oasis Games Ltd., E-Home Entertainment Development Co., Ltd, Coconut Island Games",Shanghai Oriental Pearl Suole Culture Development Ltd.,0.0,1.0,
Dreadnoughts,1992,Strategy,3rd-person (Other),DOS,5.5,37% (7),Turcan Research Systems Limited,Turcan Research Systems Limited,0.0,1.0,Turn-based
The Expendables 2: Videogame,2012,Action,3rd-person (Other),PlayStation 3,4.7,37% (12),Ubisoft Entertainment SA,Ubisoft Entertainment SA,0.0,1.0,Shooter
Two Thrones,2004,Strategy,Top-down,Windows,4.8,37% (10),Paradox Entertainment AB,Paradox Entertainment AB,0.0,1.0,Real-time
Cheggers Party Quiz,2007,Strategy,Fixed / flip-screen,Windows,4.7,37% (14),Oxygen Interactive Software Ltd.,Oxygen Interactive Software Ltd.,0.0,1.0,Turn-based
MIB: Alien Crisis,2012,Action,Behind view,Xbox 360,5.2,37% (5),"Activision Publishing, Inc.","Activision Publishing, Inc.",0.0,1.0,Shooter
The Legend of Zelda: Tears of the Kingdom,2023,Action,Behind view,Nintendo Switch,9.4,97% (61),Nintendo EPD,Nintendo EPD,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
Metroid Prime: Remastered,2023,Action,1st-person,Nintendo Switch,9.2,95% (40),Retro Studios Inc.,Retro Studios Inc.,0.0,1.0,Metroidvania
The Legend of Zelda: Breath of the Wild,2017,Action,Behind view,Wii U,9.2,96% (81),"Nintendo of Europe GmbH, Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Korea Co., Ltd.",Nintendo of Europe GmbH,0.0,1.0,"Puzzle elements, RPG elements, Sandbox / open world"
God of War: Ragnarök,2022,Action,Behind view,PlayStation 4,9.2,94% (148),Sony Interactive Entertainment America LLC,Sony Interactive Entertainment America LLC,0.0,1.0,"Hack and slash, Puzzle elements, RPG elements"
Super Mario Galaxy,2007,Action,Behind view,Wii,9.2,96% (146),"Nintendo Co., Ltd., Nintendo of America Inc., Nintendo of Europe GmbH","Nintendo Co., Ltd.",0.0,1.0,"Platform, Puzzle elements"
Super Mario Odyssey,2017,Action,Behind view,Nintendo Switch,9.1,96% (39),Nintendo EPD,Nintendo EPD,0.0,1.0,Platform
Super Mario Galaxy 2,2010,Action,3rd-person (Other),Wii,9.1,96% (55),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Platform, Puzzle elements"
Persona 5,2016,Role-playing (RPG),Behind view,PlayStation 3,9.1,94% (83),"SEGA Games Co., Ltd., Atlus U.S.A., Inc., Koch Media GmbH (Austria)","SEGA Games Co., Ltd.",0.0,1.0,Anime / Manga
Uncharted 2: Among Thieves,2009,Action,Behind view,PlayStation 3,9.1,95% (82),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd.",Sony Computer Entertainment America Inc.,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter"
Resident Evil 4,2023,Action,Behind view,Windows,9.1,92% (161),"Capcom Co., Ltd., CE Europe Ltd., Capcom U.S.A., Inc.","Capcom Co., Ltd.",0.0,1.0,"Shooter, Survival horror"
Uncharted 4: A Thief's End,2016,Action,Behind view,PlayStation 4,9.1,93% (33),"Naughty Dog, Inc.","Naughty Dog, Inc.",0.0,1.0,"Puzzle elements, Shooter, Stealth"
Elden Ring,2022,Role-playing (RPG),Behind view,Windows,9.1,94% (46),"FromSoftware, Inc., BANDAI NAMCO Entertainment Inc., BANDAI NAMCO Entertainment America Inc., BANDAI NAMCO Entertainment Europe S.A.S.","FromSoftware, Inc.",0.0,1.0,"Action RPG, Hack and slash"
The Legend of Zelda: Ocarina of Time 3D,2011,Action,Behind view,Nintendo 3DS,9.1,95% (61),"Grezzo Co., Ltd., Nintendo EAD","Grezzo Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
The Last of Us: Remastered,2014,Action,Behind view,PlayStation 4,9.1,95% (34),"Naughty Dog, Inc.","Naughty Dog, Inc.",0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth, Survival horror"
Mass Effect 2,2011,Compilation,3rd-person (Other),PlayStation 3,9.1,93% (59),BioWare Edmonton,BioWare Edmonton,0.0,1.0,Cinematic camera
Resident Evil 4,2005,Action,Behind view,GameCube,9.0,96% (112),Capcom Production Studio 4,Capcom Production Studio 4,0.0,1.0,"Puzzle elements, Quick Time Events (QTEs), Shooter, Survival horror"
Persona 4 Golden,2012,Role-playing (RPG),3rd-person (Other),PS Vita,9.0,93% (37),"Index Corporation, Index Digital Media, Inc., SEGA Corporation, SEGA of America, Inc.",Index Corporation,0.0,1.0,Anime / Manga
God of War,2018,Action,Behind view,PlayStation 4,9.0,94% (42),"Sony Computer Entertainment America Inc., Playstation PC LLC",Sony Computer Entertainment America Inc.,0.0,1.0,"Hack and slash, Puzzle elements, RPG elements"
Portal 2,2011,Action,1st-person,Windows,9.0,93% (174),"Valve Corporation, Buka Entertainment, CyberFront Corporation, ak tronic Software & Services GmbH",Valve Corporation,0.0,1.0,Platform
Microsoft Flight Simulator,2020,Simulation,1st-person,Windows,9.0,94% (27),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Direct control
Xenoblade Chronicles,2010,Role-playing (RPG),3rd-person (Other),Wii,9.0,92% (92),"Nintendo Co., Ltd., Nintendo of Europe GmbH, Nintendo of America Inc.","Nintendo Co., Ltd.",0.0,1.0,Anime / Manga
Super Mario 3D World,2013,Action,3rd-person (Other),Wii U,9.0,93% (54),Nintendo EAD,Nintendo EAD,0.0,1.0,Platform
Forza Horizon 5,2021,Racing / Driving,1st-person,Windows,9.0,95% (15),"Xbox Game Studios, Microsoft Corporation",Xbox Game Studios,0.0,1.0,Direct control
The Witcher 3: Wild Hunt,2015,Role-playing (RPG),Behind view,Windows,9.0,93% (69),CD Projekt S.A.,CD Projekt S.A.,0.0,1.0,Action RPG
Hades,2018,Role-playing (RPG),Diagonal-down,Windows,9.0,94% (31),"Supergiant Games, Inc.","Supergiant Games, Inc.",0.0,1.0,2D scrolling
Ōkami,2006,Action,Behind view,PlayStation 2,9.0,92% (147),"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd., Capcom U.S.A., Inc.","Capcom Co., Ltd.",0.0,1.0,"Metroidvania, Puzzle elements"
Journey,2012,Action,Behind view,PlayStation 3,8.9,92% (99),"Sony Computer Entertainment America LLC, Sony Computer Entertainment Europe Ltd., Sony Interactive Entertainment Inc.",Sony Computer Entertainment America LLC,0.0,1.0,Meditative / Zen
Red Dead Redemption,2010,Action,Behind view,Xbox 360,8.9,93% (80),"Rockstar Games, Inc., ak tronic Software & Services GmbH","Rockstar Games, Inc.",0.0,1.0,"Sandbox / open world, Shooter"
Final Fantasy VII: Remake,2020,Role-playing (RPG),3rd-person (Other),PlayStation 4,8.9,92% (44),"Square Enix Co., Ltd.","Square Enix Co., Ltd.",0.0,1.0,Cinematic camera
Gears of War 2,2008,Action,Behind view,Xbox 360,8.9,93% (105),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
The Orange Box,2007,Compilation,,Windows,8.9,94% (95),"Valve Corporation, Buka Entertainment, CyberFront Corporation",Valve Corporation,0.0,1.0,
Metal Gear Solid 4: Guns of the Patriots,2008,Action,1st-person,PlayStation 3,8.9,93% (104),"Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc., Konami Digital Entertainment Co., Ltd.",Konami Digital Entertainment GmbH,0.0,1.0,"Shooter, Stealth"
Resident Evil 2,2019,Action,Behind view,Windows,8.9,92% (33),"Capcom Co., Ltd., Capcom U.S.A., Inc.","Capcom Co., Ltd.",0.0,1.0,"Puzzle elements, Shooter, Survival horror"
LittleBigPlanet,2008,Action,Side view,PlayStation 3,8.9,93% (87),Media Molecule Ltd.,Media Molecule Ltd.,0.0,1.0,2D scrolling
God of War: Chains of Olympus,2008,Action,Behind view,PSP,8.9,91% (104),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Japan",Sony Computer Entertainment America Inc.,0.0,1.0,"Hack and slash, Quick Time Events (QTEs)"
Forza Motorsport,2005,Racing / Driving,1st-person,Xbox,8.9,92% (72),Turn 10 Studios,Turn 10 Studios,0.0,1.0,Direct control
Batman: Arkham City,2011,Action,Behind view,Windows,8.9,93% (51),"Warner Bros. Interactive Entertainment Inc., ak tronic Software & Services GmbH",Warner Bros. Interactive Entertainment Inc.,0.0,1.0,"Beat 'em up / brawler, Metroidvania, Stealth"
Ninja Gaiden Black,2005,Action,Behind view,Xbox,8.9,94% (38),"Tecmo, Inc., Tecmo, Ltd., Microsoft Game Studios","Tecmo, Inc.",0.0,1.0,"Hack and slash, Puzzle elements"
Half-Life: Alyx,2020,Action,1st-person,Windows,8.9,94% (18),Valve Corporation,Valve Corporation,0.0,1.0,"Puzzle elements, Shooter"
God of War II,2007,Action,Behind view,PlayStation 2,8.9,93% (104),"Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment America Inc., ak tronic Software & Services GmbH, Sony Computer Entertainment Japan",Sony Computer Entertainment Europe Ltd.,0.0,1.0,"Hack and slash, Puzzle elements, Quick Time Events (QTEs)"
The Legend of Zelda: Twilight Princess,2006,Action,Behind view,Wii,8.9,94% (172),"Nintendo of America Inc., Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo Australia Pty., Ltd.",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Puzzle elements"
Red Dead Redemption II,2018,Action,1st-person,PlayStation 4,8.9,94% (45),"Rockstar Games, Inc.","Rockstar Games, Inc.",0.0,1.0,"Gambling elements, Sandbox / open world"
Super Smash Bros. Brawl,2008,Action,Side view,Wii,8.9,92% (131),"Sora Ltd., Game Arts Co., Ltd.",Sora Ltd.,0.0,1.0,Fighting
Guild Wars 2,2012,Role-playing (RPG),Behind view,Windows,8.9,90% (84),NCsoft Corporation,NCsoft Corporation,0.0,1.0,Persistent
Company of Heroes,2006,Strategy,Diagonal-down,Windows,8.9,93% (78),"THQ Inc., Buka Entertainment, ak tronic Software & Services GmbH, Feral Interactive Ltd.",THQ Inc.,0.0,1.0,Free-roaming camera
Forza Motorsport 2,2007,Racing / Driving,1st-person,Xbox 360,8.8,90% (99),Turn 10 Studios,Turn 10 Studios,0.0,1.0,Direct control
Bayonetta 2,2014,Action,Behind view,Wii U,8.8,91% (36),"Nintendo of America Inc., Nintendo of Korea Co., Ltd.",Nintendo of America Inc.,0.0,1.0,Hack and slash
Gears of War,2006,Action,Behind view,Xbox 360,8.8,94% (137),Microsoft Corporation,Microsoft Corporation,0.0,1.0,Shooter
Rayman Legends,2013,Action,Side view,Windows,8.8,91% (54),"Ubisoft Entertainment SA, ak tronic Software & Services GmbH, Bihan Internet Technology",Ubisoft Entertainment SA,0.0,1.0,2D scrolling
Metal Gear Solid 3: Subsistence,2005,Action,1st-person,PlayStation 2,8.8,92% (68),"Konami Corporation, Konami Digital Entertainment, Inc., Konami Digital Entertainment Co., Ltd.",Konami Corporation,0.0,1.0,"Shooter, Stealth"
The Witcher 3: Wild Hunt - Blood and Wine,2016,DLC / Add-on,Item,Windows,8.8,92% (12),CD Projekt S.A.,CD Projekt S.A.,0.0,1.0,
The Last of Us,2013,Action,Behind view,PlayStation 3,8.8,92% (56),"Sony Computer Entertainment America LLC, Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment Inc.",Sony Computer Entertainment America LLC,0.0,1.0,"Quick Time Events (QTEs), Shooter, Stealth, Survival horror"
Project Gotham Racing 2,2003,Racing / Driving,1st-person,Xbox,8.8,93% (65),"Bizarre Creations, Ltd.","Bizarre Creations, Ltd.",0.0,1.0,Direct control
God of War III,2010,Action,Behind view,PlayStation 3,8.8,92% (50),"Sony Computer Entertainment Europe Ltd., Sony Computer Entertainment America Inc., Sony Interactive Entertainment Inc.",Sony Computer Entertainment Europe Ltd.,0.0,1.0,"Hack and slash, Puzzle elements, Quick Time Events (QTEs)"
Guitar Hero II,2006,Action,3rd-person (Other),PlayStation 2,8.8,92% (96),"Activision Publishing, Inc., RedOctane, Inc.","Activision Publishing, Inc.",0.0,1.0,Cinematic camera
Mario Kart 8 Deluxe,2017,Racing / Driving,Behind view,Nintendo Switch,8.8,92% (31),Nintendo EAD,Nintendo EAD,0.0,1.0,Arcade
Persona 5: Royal,2019,Role-playing (RPG),Behind view,PlayStation 4,8.8,95% (12),"Atlus Co., Ltd.","Atlus Co., Ltd.",0.0,1.0,Anime / Manga
NFL 2K1,2000,Sports,Diagonal-down,Dreamcast,8.8,94% (25),"Visual Concepts Entertainment, Inc.","Visual Concepts Entertainment, Inc.",0.0,1.0,"Direct control, Multiple units/characters control"
Metroid Prime,2002,Action,1st-person,GameCube,8.8,95% (92),"Nintendo of America Inc., Nintendo Co., Ltd., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,"Metroidvania, Shooter"
Total War: Shogun 2,2011,Strategy,Diagonal-down,Windows,8.8,89% (90),"1C-SoftClub, SEGA Europe Ltd., Feral Interactive Ltd., ak tronic Software & Services GmbH",1C-SoftClub,0.0,1.0,Free-roaming camera
The Legend of Zelda: Skyward Sword,2011,Action,1st-person,Wii,8.8,92% (78),"Nintendo of Europe GmbH, Nintendo of America Inc., Nintendo Co., Ltd., Nintendo Australia Pty., Ltd.",Nintendo of Europe GmbH,0.0,1.0,Free-roaming camera
Divinity: Original Sin II,2016,Role-playing (RPG),Diagonal-down,Windows,8.8,92% (32),"Larian Studios NV, BANDAI NAMCO Entertainment Europe S.A.S., Spike Chunsoft Co., Ltd.",Larian Studios NV,0.0,1.0,Turn-based
Halo 3,2007,Action,1st-person,Xbox 360,8.8,92% (138),Bungie Studios,Bungie Studios,0.0,1.0,Shooter
Metroid Prime Trilogy,2009,Action,1st-person,Wii,8.8,90% (20),"Nintendo of America Inc., Nintendo of Europe GmbH",Nintendo of America Inc.,0.0,1.0,Shooter
Batman: Arkham Asylum,2009,Action,Behind view,Windows,8.8,92% (96),"Eidos Interactive Limited, Square Enix Co., Ltd., Feral Interactive Ltd.",Eidos Interactive Limited,0.0,1.0,"Metroidvania, Stealth"
Rock Band 2,2008,Action,3rd-person (Other),Xbox 360,8.8,91% (72),MTV Games,MTV Games,0.0,1.0,Cinematic camera
The Beatles: Rock Band,2009,Action,3rd-person (Other),Xbox 360,8.8,89% (91),MTV Games,MTV Games,0.0,1.0,Cinematic camera
Grand Theft Auto: Chinatown Wars,2009,Action,Top-down,Nintendo DS,8.8,94% (119),"Rockstar Games, Inc., CyberFront Corporation","Rockstar Games, Inc.",0.0,1.0,2D scrolling
Guitar Hero,2005,Action,3rd-person (Other),PlayStation 2,8.8,92% (85),"Harmonix Music Systems, Inc.","Harmonix Music Systems, Inc.",0.0,1.0,Cinematic camera
World of WarCraft: Wrath of the Lich King,2008,DLC / Add-on,Item,Windows,8.8,91% (40),"Blizzard Entertainment Inc., Soft Club, Blizzard Entertainment Europe",Blizzard Entertainment Inc.,0.0,1.0,
Killzone 2,2009,Action,1st-person,PlayStation 3,8.8,91% (87),Guerrilla B.V.,Guerrilla B.V.,0.0,1.0,Shooter
Tom Clancy's Ghost Recon: Advanced Warfighter,2006,Action,1st-person,Xbox 360,8.8,90% (98),"Red Storm Entertainment, Inc., Ubi Studios SL, Ubisoft Paris Studios SARL, Tiwak SAS","Red Storm Entertainment, Inc.",0.0,1.0,Shooter
It Takes Two,2021,Action,Behind view,Windows,8.8,89% (114),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,"Mini-games, Platform, Puzzle elements"
StarCraft II: Wings of Liberty,2010,Strategy,Diagonal-down,Windows,8.8,92% (67),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,Free-roaming camera
Rock Band,2007,Action,3rd-person (Other),Xbox 360,8.8,91% (102),MTV Games,MTV Games,0.0,1.0,Cinematic camera
Super Mario 3D Land,2011,Action,Side view,Nintendo 3DS,8.8,89% (85),Nintendo EAD,Nintendo EAD,0.0,1.0,2D scrolling
Super Smash Bros. Ultimate,2018,Action,Side view,Nintendo Switch,8.8,93% (29),"Sora Ltd., BANDAI NAMCO Studios Inc.",Sora Ltd.,0.0,1.0,2D scrolling
The Last of Us: Part I,2022,Action,Behind view,PlayStation 5,8.8,88% (120),"Sony Interactive Entertainment America LLC, Playstation PC LLC",Sony Interactive Entertainment America LLC,0.0,1.0,"Quick Time Events (QTEs), RPG elements, Stealth"
NCAA Football 2004,2003,Sports,Managerial / business simulation,PlayStation 2,8.8,92% (21),"Electronic Arts, Inc.","Electronic Arts, Inc.",0.0,1.0,Football (American)
The Last of Us: Part II,2020,Action,Behind view,PlayStation 4,8.8,90% (30),"Sony Interactive Entertainment Europe Ltd., Sony Interactive Entertainment Inc., Sony Interactive Entertainment America LLC, SCE Worldwide Studios",Sony Interactive Entertainment Europe Ltd.,0.0,1.0,"Quick Time Events (QTEs), RPG elements, Stealth"
ESPN NFL 2K5,2004,Sports,1st-person,PlayStation 2,8.8,90% (26),"SEGA of America, Inc., Global Star Software Inc., SEGA Europe Ltd.","SEGA of America, Inc.",0.0,1.0,"Direct control, Multiple units/characters control"
Mass Effect 2,2010,Role-playing (RPG),Behind view,Windows,8.8,92% (73),"Electronic Arts, Inc., ak tronic Software & Services GmbH","Electronic Arts, Inc.",0.0,1.0,"Action RPG, Quick Time Events (QTEs), Shooter"
Uncharted 3: Drake's Deception,2011,Action,3rd-person (Other),PlayStation 3,8.8,90% (52),"Sony Computer Entertainment America LLC, Sony Computer Entertainment Inc., Sony Interactive Entertainment Europe Ltd.",Sony Computer Entertainment America LLC,0.0,1.0,Cinematic camera
Shadow of the Colossus,2018,Action,Platform,PlayStation 4,8.8,92% (23),"Bluepoint Games, Inc., Sony Interactive Entertainment Japan Studio","Bluepoint Games, Inc.",0.0,1.0,Direct control
Ratchet & Clank Future: Tools of Destruction,2007,Action,Behind view,PlayStation 3,8.7,89% (91),"Insomniac Games, Inc.","Insomniac Games, Inc.",0.0,1.0,"Platform, Puzzle elements, Shooter"
Super Metroid,1994,Action,Side view,SNES,8.7,93% (51),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc., Playtronic Industrial Ltda.",Nintendo of Europe GmbH,0.0,1.0,2D scrolling
Psychonauts 2,2021,Action,3rd-person (Other),PlayStation 4,8.7,89% (51),Microsoft Corporation,Microsoft Corporation,0.0,1.0,"Platform, Puzzle elements"
Gears of War 3,2011,Action,Behind view,Xbox 360,8.7,91% (37),"Microsoft Game Studios, ak tronic Software & Services GmbH, Microsoft Corporation",Microsoft Game Studios,0.0,1.0,Shooter
Marvel Spider-Man,2018,Action,Behind view,PlayStation 4,8.7,89% (55),"Insomniac Games, Inc.","Insomniac Games, Inc.",0.0,1.0,"Quick Time Events (QTEs), Sandbox / open world, Stealth"
Metroid Dread,2021,Action,Side view,Nintendo Switch,8.7,92% (22),"Mercury Steam Entertainment S.L., Nintendo EPD",Mercury Steam Entertainment S.L.,0.0,1.0,2D scrolling
Sid Meier's Civilization IV,2005,Strategy,Diagonal-down,Windows,8.7,92% (88),"2K Games, Inc., CyberFront Corporation, Aspyr Media, Inc.","2K Games, Inc.",0.0,1.0,Free-roaming camera
Metroid Prime 3: Corruption,2007,Action,1st-person,Wii,8.7,90% (101),Retro Studios Inc.,Retro Studios Inc.,0.0,1.0,Shooter
God of War,2005,Action,3rd-person (Other),PlayStation 2,8.7,93% (105),"Sony Computer Entertainment America Inc., Sony Computer Entertainment Europe Ltd., Capcom Co., Ltd., Sony Computer Entertainment Inc.",Sony Computer Entertainment America Inc.,0.0,1.0,Cinematic camera
Street Fighter IV,2008,Action,Side view,Arcade,8.7,91% (91),"Capcom Co., Ltd., Capcom Entertainment, Inc., CE Europe Ltd.","Capcom Co., Ltd.",0.0,1.0,Anime / Manga
Virtua Fighter 4: Evolution,2002,Action,3rd-person (Other),Arcade,8.7,91% (42),"SEGA Corporation, SEGA Europe Ltd., SEGA of America, Inc.",SEGA Corporation,0.0,1.0,"Arcade, Fighting"
Stardew Valley,2016,Role-playing (RPG),Diagonal-down,Windows,8.7,90% (27),"Chucklefish Ltd., ConcernedApe LLC, Oizumi Amuzio Inc.",Chucklefish Ltd.,0.0,1.0,2D scrolling
Disco Elysium,2019,Role-playing (RPG),Diagonal-down,Windows,8.7,92% (47),"Zaum Studio OÜ, Disco Elysium UK Ltd.",Zaum Studio OÜ,0.0,1.0,2D scrolling
LittleBigPlanet 2,2011,Action,Side view,PlayStation 3,8.7,90% (39),Media Molecule Ltd.,Media Molecule Ltd.,0.0,1.0,2D scrolling
Castlevania: Dawn of Sorrow,2005,Action,Side view,Nintendo DS,8.7,90% (80),"Konami Corporation, Konami Digital Entertainment GmbH, Konami Digital Entertainment, Inc.",Konami Corporation,0.0,1.0,2D scrolling
Osu! Tatakae! Ouendan,2005,Action,Music / rhythm,Nintendo DS,8.7,89% (26),iNiS corporation,iNiS corporation,0.0,1.0,
The Witcher 2: Assassins of Kings,2011,Role-playing (RPG),Behind view,Windows,8.7,89% (115),CD Projekt RED Sp. z o.o.,CD Projekt RED Sp. z o.o.,0.0,1.0,"Action RPG, Quick Time Events (QTEs)"
Galactic Civilizations II: Dark Avatar,2007,DLC / Add-on,Mechanics,Windows,8.7,91% (26),,,0.0,1.0,
Monster Hunter: World,2018,Role-playing (RPG),Behind view,PlayStation 4,8.7,90% (32),"Capcom U.S.A., Inc., CE Europe Ltd., Capcom Co., Ltd.","Capcom U.S.A., Inc.",0.0,1.0,Real-time
World of WarCraft: Cataclysm,2010,DLC / Add-on,Item,Windows,8.7,90% (77),Blizzard Entertainment Inc.,Blizzard Entertainment Inc.,0.0,1.0,
Super Mario All-Stars,1993,Action,Side view,SNES,8.7,94% (20),"Nintendo of Europe GmbH, Nintendo Co., Ltd., Nintendo of America Inc.",Nintendo of Europe GmbH,0.0,1.0,2D scrolling
